job_name,job_description,posting_date,experience,location,company_name,job_application_link,type
Assistant Manager - Training,"Role: Training Level: Assistant Manager Location: Gurugram Reporting To: Director - Corporate Channel About The Function MyBiz, a corporate travel management platform by MakeMyTrip provides a customizable, realtime self-booking system which seamlessly integrates into a company’s structure to deliver convenience, transparency, savings and the power of choice. Over last 5 years, they have onboarded 50000+ prominent corporates which are availing the benefits of our seamless platform, along with significant savings. About The Role This is a critical role where the incumbent will drive end-to-end Learning, Sales Enablement, and Content Strategy for the MyBiz business. The role requires to develop, implement, and oversee a comprehensive training program designed to equip team members with the tools and knowledge necessary for success in an ever-evolving market. What Will You Be Doing Onboarding & Induction Design and execute structured onboarding programs to ensure seamless integration and role readiness of new joiners. Learning & Capability Development Drive continuous learning capability building across sales teams through structured curricula, refresher sessions, and advanced training modules. Assessment & Evaluation Develop and implement milestone-based evaluation frameworks to assess product understanding and role readiness. Training Needs Analysis Identify capability gaps using performance data, manager feedback, and field observations to tailor learning interventions. Content Development & Management Create and maintain high-quality training materials including SOPs, process notes, handbooks, and learning manuals, ensuring content is structured, updated, and easily accessible. Client-Facing Content Creation Develop product-related content for clients, including feature updates and value-driven communication materials. Product & Feature Enablement Support new product and feature launches by ensuring frontline teams are trained and deployment-ready through structured enablement programs. Engagement & Learning Culture Drive internal engagement through learning campaigns, quizzes, and knowledge-sharing initiatives. Learning Innovation & Digital Enablement Introduce innovative learning solutions, including AI-led training modules and demo simulations. Build scalable digital learning ecosystems through LMS, microlearning, and self-serve training modules. Qualification & Experience MBA from reputed institute with 5-7 years of extensive experience in training, content creation and design, strategic planning, content redesign, ensuring impactful and effective outcomes. Exposure to sales, operations, partner enablement, or capability development environments preferred. Strong written and verbal communication skills with the ability to create clear, engaging, and audience-relevant content. Hands-on experience with content creation tools, presentations, and digital learning platforms. Key Success Factors Of The Role Strategic & Analytical Mindset: Able to assess team needs, identify gaps, and develop tailored training interventions. Adaptability & Innovation: Keeps up with industry trends and is innovative in training approaches. Leadership & Influence: Motivates and inspires, influencing others to achieve high standards of performance.",01-05-2026,5-7 years,Gurgaon,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69f4837bc4984?from=all,Onsite
Associate Product Manager (Adtech),"Role: Product Management Level: Associate Product Manager Location: Gurugram Reporting to: VP - Product Management About the function: The Adtech team at MakeMyTrip monetizes its users largely through Marketplace and Impact advertisements. MMT’s premium audiences are in demand for most of the advertisers and we help the advertisers reach the right target audience at the right place and at the right time through the right messaging. Adtech is one of the fastest growing businesses inside MMT and have all the ingredients to be one of the significant contributors to our bottom line. About the role: As an Associate Product Manager , you will have the opportunity to work on impactful product-related projects and gain hands-on experience in product management within a dynamic and innovative environment while collaborating with some of the brightest minds in the industry. What you'll be doing: Own and execute specific product modules/features within the AdTech ecosystem (campaign setup, targeting, delivery systems, Adserver, reporting, etc.) Break down ambiguous business problems into structured product solutions with clear hypotheses and trade-offs Work closely with engineering to understand system architecture, APIs, data flows, and constraints, and deliver scalable, high-quality solutions Analyze campaign performance, funnels, and user behaviour to identify optimization opportunities Drive experimentation (A/B testing) to improve CTR, conversion rates, and revenue outcomes Leverage GenAI to improve advertiser workflows (creative generation, targeting recommendations, campaign optimization insights) and internal product efficiency Drive data-driven experimentation to refine AI/ML-based ad ranking systems and maximize CTR, conversion rates, and revenue Qualification & Experience: MBA with an engineering background from reputed/premiere institutes only 1–2 years of experience in product management or related roles in a consumer-facing, tech-enabled company (preferably e-commerce/marketplace) Strong analytical and problem-solving skills with a structured approach Solid understanding of technology fundamentals (APIs, data systems, experimentation, basic system design) Basic understanding of digital advertising / AdTech ecosystem is a plus Key success factors for the role: Strong problem-solving mindset: Ability to break down complex, ambiguous problems into actionable solutions Technical understanding: Comfortable working with engineering teams, understanding system design, data flows, and constraints Ownership mindset: Takes end-to-end responsibility of features and delivers with minimal supervision Data-driven decision making: Uses metrics, experimentation, and analysis to guide product choices",14-04-2026,1-2 years,Gurgaon,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69de32fab6582?from=all,Onsite
Associate Product Manager (Connect),"Role: Product Management Level: Assistant Manager Location: Gurugram Reporting to: Associate Director - Product Management About the function: The Product Management function at MakeMyTrip sits at the core of how we build, scale, and reimagine travel. By bringing together technology, data, design, and business insight, it creates seamless experiences for millions of travelers across discovery, personalization, payments, and loyalty. Our PM teams act as mini-CEOs — shaping strategy, translating insights into impact, and pushing the boundaries of travel tech to make MMT a truly product-first organization. Within this, Connect helps Hotels and Alternate Accommodation partners grow by solving challenges across the pre- and post-booking journey. The team drives partner visibility, conversions, and pricing competitiveness through innovative tools and propositions - strengthening MMT’s partner ecosystem and fuelling scalable, sustainable growth. About the role: The Product Manager role at Connect is centred around building high-impact solutions for Hotels and Alternative Accommodation partners. The incumbent will be responsible for identifying and solving user and partner challenges across the consumer and host journey, enhancing experience and conversions, and driving innovation in pricing, visibility, and inventory management. This role demands a strong product mindset, the ability to translate insights into scalable product strategies, and close collaboration with business, tech, design, and analytics teams. The Product Manager will be expected to deeply understand partner needs, prioritize impactful initiatives, and deliver outcomes that improve partner success and business growth for MakeMyTrip. What you'll be doing: Conceptualizing and building new products and features that are accurate, scalable, and impactful, addressing key partner and customer needs. Defining and driving the product vision, strategy, and roadmap to deliver measurable business outcomes and enhanced user experiences. Collaborating closely with technology, design, QA, supply, finance, and customer support teams to ensure seamless execution of product releases. Owning and tracking key product KPIs, analyzing performance continuously, and iterating post-launch to strengthen adoption and experience. Building strong product insights through consistent customer engagement, market research, and competitive benchmarking. Creating a seamless and differentiated user experience for both hotel consumers and hosts within the Connect ecosystem. Demonstrating a passion for data, problem-solving, and simplifying complex experiences to deliver intuitive, high-impact solutions. Qualification & Experience: Management graduate from a reputed institute with 0 - 2 years of experience in a consumer-facing, technology-enabled business or product environment. Strong analytical, problem-solving, and stakeholder management skills. Proven ability to thrive in a fast-paced, cross-functional environment. Key success factors for the role: Customer Centricity: A deep passion for understanding and improving user and partner experiences. Ownership & Execution: Ability to translate ideas into impactful products through structured execution and cross-functional collaboration. Strategic Thinking: Aptitude for building long-term product vision aligned with business goals. Analytical Rigor: Data-driven approach to problem-solving and decision-making. Innovation & Agility: Eagerness to experiment, learn quickly, and adapt solutions to dynamic market needs. Communication & Influence: Strong ability to articulate product vision and rally teams around shared outcomes.",23-04-2026,0-2 years,Gurgaon,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69e9fc45bcbac?from=all,Onsite
Finance & Accounts - Accounting,"About the Opportunity Role: Accounting & Reconciliation Level: Executive / Senior Executive Reporting to: Manager - Finance & Accounts Location: Gurugram About the Function: The Finance function serves as a cornerstone in driving financial strategy, overseeing 
revenue accounting, reconciliation, and reporting. It collaborates closely with the business 
team and plays a crucial role in syncing revenue numbers, addressing day-to-day operational 
challenges, and ensuring the timely handling of monthly/quarterly/annual reporting and 
audits. About the Role: In this role, you will be responsible for managing the financial transactions related to 
accounts payable within the organization. You will respond to both verbal and written 
queries from hotel partners. You will play a pivotal role in handling all payment-related inquiries and associated sub
processes within the organization. MMT provides an array of services such as Pay at Hotel, 
Book Now Pay Later and Prepaid to both consumers and hotel partners. Thus, this will be your task to respond to the hotel partners/internal employee’s financial 
queries and to understand financial terminologies. The ideal candidate embodies versatility, 
serving as a jack of all trades in payment operations, adept at managing diverse tasks and 
collaborating with multiple stakeholders. What will you be doing: Payment Processing: Handling payment processing tasks, including but not limited 
to invoice verification, payment scheduling, reconciliation, and validation of 
financial transactions. Maintain accurate records of payment transactions and 
monitor payment deadlines. Vendor Management: Establish and maintain positive relationships with vendors 
and suppliers. Address inquiries or concerns from vendors regarding payment 
status or discrepancies. Negotiate payment terms wherever applicable to make 
payments streamline. Reporting: Generate reports on accounts payable activities as required by 
management. Provide analysis and insights into payables trends, outstanding 
balances, and payment schedules. Compliance: Adhere to internal accounting policies and procedures. Stay updated 
on relevant regulations and compliance requirements in the travel industry. Assist 
in audits and compliance reviews as necessary. Payment Query Resolution: Respond promptly to payment-related queries from 
internal stakeholders and vendors, ensuring accurate and satisfactory resolution 
while adhering to service level agreements (SLAs). Investigation and Analysis: Investigate discrepancies, errors, or issues related to 
payments, utilizing analytical skills to identify root causes and implement corrective 
actions to prevent recurrence. Customer Service: Provide exceptional customer service by addressing inquiries 
courteously, professionally, and efficiently, maintaining a positive rapport with 
stakeholders and fostering strong relationships. Process Improvement: Collaborate with cross-functional teams to identify 
opportunities for streamlining payment processes, enhancing efficiency, and 
implementing best practices to optimize the payment query resolution workflow. System Management: Navigate and utilize various payment systems, software 
applications, and databases proficiently to access information, update records, and 
facilitate query resolution. Ad Hoc Tasks: Assist in ad hoc projects, assignments, or tasks as assigned by 
management, demonstrating flexibility and willingness to contribute to the overall 
success of the payments function. Qualification & Experience: B.com graduates, with an MBA in finance, who possess 2-5 years of experience in the 
field of Finance and Accounts and demonstrate a ready-to-learn attitude. Key Success Factors for the Role: A solid understanding of accounting principles and financial reporting standards.
The ability to analyze financial data, interpret trends, and make recommendations based 
on analysis.
Strong communication skills, Influencing skills, great interpersonal & stakeholder 
management skills. 
High on energy, team player coupled with a great attitude",28-04-2026,2-5 years,Gurgaon,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69f0462611f7a?from=all,Onsite
Category Management,"About the Opportunity: Role: Associate Category Manager Level : Assistant Manager Location: Gurgaon Reporting to : Lead Category Manager About the Function: With a deep understanding of Indian consumers' travel preferences, the Holidays team offers a vast range of holiday packages for destinations across the world. MMT Holidays is a leading name in the leisure travel space, serving over 3 lakh passengers a nnually. Our offerings span both domestic and international markets, catering to travellers across more than 50 destinations. With a strong focus on delivering exceptional travel experiences, we are a trusted choice for holiday packages. Within this larger ecosystem, Tours & Attractions is a new line of business. The key goal of this vertical is to provide Domestic & Outbound Experiences & Attractions to Indian travelers. the Tours & Attractions function plays a critical role in enhancing holiday experiences by curating high quality on-ground offerings, including attraction tickets, guided tours, and activities worldwide. Catering to diverse traveller needs from curated sightseeing to flexible, build-your-own experiences the team combines destination expertise, strong supplier partnerships, and commercial insight to stay ahead in an evolving market. About the Role: As an Associate Category Manager – T&A, you will play a pivotal role in driving growth and innovation within this category. The role demands a strong strategic mindset, backed by deep market insights and competitive benchmarking, to shape category performance and business direction. You will lead high-impact initiatives, working cross-functionally with product, marketing, supply, and operations teams to ensure seamless execution and strategic alignment. A key responsibility will be to build performance dashboards that surface actionable insights, support data-driven decisions, and unlock new growth opportunities. In addition, you will be instrumental in enhancing the overall customer experience by identifying friction points and collaborating on solutions. The role also involves supporting leadership with data-backed recommendations to steer the business forward. What will you be doing: Developing and driving annual growth roadmaps by leveraging insights from traveler segments, market trends, competitive landscapes, customer value analysis, funnel performance, and experimental pilots. Leading strategic, high-impact projects from ideation to execution, including building robust business plans and implementing phased rollouts aligned with the company’s vision. Delivering actionable insights and enabling cross-functional execution across supply, sales, marketing, product, and post-sales teams. Designing, building, and refining performance dashboards and business intelligence tools to track progress against the annual operating plan. Collaborating closely with Marketing, Sales, Revenue, and Product teams to accelerate growth and drive business outcomes. Identifying and capitalizing on new growth opportunities through industry benchmarking and innovative strategies across related sectors. Owning and optimizing the end-to-end customer journey to ensure an aspiration-led, seamless travel experience and differentiated market positioning. Partnering with senior leadership to shape strategic priorities, support high-impact decision-making, and provide data-driven recommendations. Qualification & Experience: A master’s degree from a reputed institute, along with 2 to 4 years of experience in managing a category within internet, e-commerce, travel organizations, or in a similar role. Key Success factors for the role: Strong collaboration skills with a proven track record of working effectively across Product, Tech, Supply, Marketing, and Sales functions. Sharp analytical thinking with a passion for data-driven problem solving and structured decision-making. Ability to think strategically while maintaining a strong execution focus to drive measurable business outcomes. Experience in scaling category portfolios and leading innovation-led growth initiatives. Ownership of end-to-end product journeys with a focus on cohort-specific experiences and customer-centric design. Agility to thrive in ambiguous environments, with a test-and-learn mindset and an iterative approach to driving performance improvements.",06-05-2026,2-5 years,Gurgaon,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69faeaba5cd58?from=all,Onsite
Assistant Manager - Customer Lifecycle Management,"About the Opportunity: Role: Customer Lifecycle Management Level: Assistant Manager Reporting To: Senior Manager - CLM Location: Gurugram About the Function The Marketing function at MakeMyTrip is responsible for building a strong brand presence, driving customer acquisition, and maximizing engagement across all channels. By combining creativity with data-driven insights, the team designs and executes targeted campaigns that deliver measurable business impact. Within this, the Customer Lifecycle Marketing (CLM) team owns the strategy and execution of end-to-end lifecycle initiatives across the customer journey- onboarding, engagement, retention, and loyalty. The team focuses on maximizing customer lifetime value (LTV) through data-driven, personalized marketing interventions. About the role: MakeMyTrip is seeking a highly motivated Assistant Manager- Customer Lifecycle Marketing to drive growth through CRM-led initiatives. This role involves managing customer experience across lifecycle stages (onboarding, engagement, retention, cross-sell, and upsell), with the objective of maximizing customer lifetime value. What will you be doing Campaign Management: Conceptualize, design, and execute
marketing campaigns to drive engagement, retention, and loyalty within the
assigned customer base. Data Analysis & Insights : Utilize data analysis to gain
deep insights into customer behaviour, preferences, and trends by using tools
such as Excel and SQL to analyse large datasets, identifying patterns and
opportunities for growth. Segmentation & Targeting : Create and manage customer
segmentation and targeting strategies to optimize the customer journey. Customer Journeys: Improve customer journeys by reducing
effort, minimizing the number of interactions, and enhancing communication
efficiency through automation and other CLM tools. Project Management: Own end-to-end execution of lifecycle
initiatives, ensuring timely delivery and cross-functional alignment. Qualification & Experience MBA from a reputed institute with 1–2 years of hands-on experience in marketing within app-first, consumer-facing digital platforms, with exposure to lifecycle management or growth marketing Hands-on experience with web analytics tools (Adobe Analytics / Google Analytics) and CRM platforms (MoEngage, Clevertap,WebEngage, etc.) Key Success Factors for the Role: Customer-Centric Mindset : Deep understanding of customer
behaviour and ability to craft relevant, personalized experiences. Analytical Skills : Strong ability to analyse customer
data and derive insights to drive decision-making. Execution Excellence : Strong project management and
stakeholder coordination skills.",24-04-2026,1-2 years,Gurgaon,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69eb128827809?from=all,Onsite
Business Development Manager,"Role: MICE - Operations Level: Assistant Manager / Deputy Manager Reporting To: Associate Director - Corporate Channel Location: Gurugram About the Function: MakeMyTrip’s Corporate Channel business enables organizations to manage their travel and event requirements with efficiency and control. Its flagship product, MyBiz, is a self-booking platform designed to simplify business travel—offering real-time bookings, policy compliance, and cost optimization. Today, over 59,000 companies use MyBiz to streamline their corporate travel operations. The business also houses a fast-growing MICE (Meetings, Incentives, Conferences, and Exhibitions) vertical that delivers end-to-end solutions for group travel and events. From offsites and reward programs to large-scale conferences and exhibitions, the MICE team drives seamless execution through a strong supplier network, centralized contracting, and cost-effective planning. Together, MyBiz and MICE position MakeMyTrip as a comprehensive partner for corporate mobility and engagement—empowering organizations to manage both everyday travel and strategic events with equal excellence. About the Role: The incumbent in this role will be responsible for
end-to-end execution of corporate MICE movements (Meetings, Incentives,
Conferences & Exhibitions) across domestic and international destinations. The role demands strong operational control, vendor
coordination, financial discipline, crisis handling capability, and seamless
on-ground delivery for large corporate groups ranging from 50 to 1000+ pax. This position requires a detail-oriented professional
capable of managing multiple high-value accounts while ensuring operational
excellence and client satisfaction. What will you be doing: Manage end-to-end execution of MICE movements from
post-sales handover to final billing closure. Execute domestic and international corporate events
including incentives, conferences, leadership meets, and R&R programs. Prepare detailed operational plans covering
travel, stay, transfers, F&B, and event setups. Coordinate with vendors including airlines,
hotels, DMCs, transport providers, and event agencies for seamless delivery. Negotiate with vendors to secure cost
efficiencies, upgrades, and added value services. Monitor event budgets, track costs, and ensure
margin protection as per defined P&L. Validate supplier invoices and coordinate with
finance for payments, reconciliations, and billing closure. Manage visa processes and ensure timely
documentation and compliance for all travelers. Coordinate closely with clients, share updates,
and handle last-minute changes effectively. Travel with groups when required to manage
on-ground execution and overall guest experience. Oversee event delivery including check-ins,
F&B functions, theme nights, and production setups. Handle operational challenges such as delays,
overbookings, or unforeseen disruptions. Develop contingency plans to manage risks and
ensure smooth execution in critical situations. Maintain trackers, share status updates, and
conduct post-event reviews. Qualification & Experience: Graduate with 6–10 years of experience in contracting, sales, operations, or MICE. Prior exposure to corporate travel, event management, or hospitality will be preferred. Key Success Factors for the Role: Demonstrating a deep understanding of corporate business development and account management. Engaging with leading industry professionals and clients, building strong relationships and networks. Gaining exposure to data analysis, insights generation, and strategic decision-making. Exploring domestic and international MICE destinations through travel opportunities.",11-03-2026,-,Gurgaon,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69b12bb09551b?from=all,Onsite
Holidays Supply,"About the Opportunity: Role: Holidays Supply - Tours & Attractions Level : Senior Executive/ Assistant Manager Reporting To : Associate Director - Holidays, Tours & Attractions, Cruises About the Function: With a deep understanding of Indian consumers' travel preferences, the Holidays team 
offers a vast range of holiday packages for destinations across the world. MMT Holidays is a leading name in the leisure travel space, serving over 3 lakh passengers 
annually. Our offerings span both domestic and international markets, catering to travellers 
across more than 50 destinations. With a strong focus on delivering exceptional travel 
experiences, we are a trusted choice for holiday packages. Within this larger ecosystem, the Tours & Attractions function plays a critical role in 
enhancing holiday experiences by curating high quality on-ground offerings, including 
attraction tickets, guided tours, and activities worldwide. Catering to diverse traveller needs 
from curated sightseeing to flexible, build-your-own experiences the team combines 
destination expertise, strong supplier partnerships, and commercial insight to stay ahead in 
an evolving market. About the Role: As a Supply Manager, the resource will be part of a high-performing team responsible for 
building and scaling the supply ecosystem that powers the Tours & Attractions vertical. The 
incumbent will play a key role in shaping a high-quality, competitive experiences catalog by 
onboarding the right partners and structuring strong, mutually beneficial commercial 
agreements. This is a high-impact role where you will directly influence the growth and success of the 
category. The role involves owning critical business metrics such as supply coverage, margins, 
and customer experience, while working closely with cross-functional teams including 
product, revenue, marketing, and operations to drive sustainable business growth and 
customer delight. What will you be doing: Supplier Acquisition & Onboarding - Identify and onboard new suppliers for tours, attractions, transfers, and experiences. Evaluate supplier offerings, pricing, service capabilities, and fit with customer demand. Negotiate commercial terms including net rates, commission, cancellation policies, and 
credit terms. Ensure complete product onboarding: descriptions, images, pricing, 
inclusions/exclusions, operating hours, and compliance documentation. Relationship & Account Management - Maintain strong relationships with existing suppliers to improve competitiveness and 
product quality. Conduct monthly/quarterly business reviews with key accounts. Drive promotional deals, seasonal pricing, and exclusive partnerships. Commercial & Pricing Excellence - Benchmark supplier rates vs competitors and alternate suppliers. Recommend product upgrades, bundles, and new inventory based on travel trends and 
demand. Sales Support & Cross-functional Collaboration - Work closely with revenue and marketing teams to identify gaps in attraction offerings. Collaborate with product, content, finance, and operations teams for seamless launch of 
supplier products. Market Intelligence & Expansion - Research destination trends, top-selling experiences, and new suppliers. Identify opportunities for curated, exclusive, or private experiences. Reporting & Analysis - Track weekly supplier performance metrics: revenue, conversion, fill rates, cancellation 
ratios. Maintain dashboards for competitiveness (net vs market rates), inventory coverage, and 
revenue contribution. Qualification & Experience: Master’s degree from a reputed institute with 3 to 6 years of experience in supplier 
acquisition, account management, contracting, or partnerships, preferably within the 
travel, hospitality, or experiences domain. Key Success Factors for the Role: Strong negotiation and commercial acumen Excellent communication, presentation, and relationship-building ability Understanding of tours & attractions landscape Ability to analyze pricing, demand patterns, and competitor movements",19-01-2026,3-6 years,Gurgaon | Mumbai,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a696e3b15f3838?from=all,Onsite
Product Manager - Personalization & Data Platforms,"Role: Product Management Level: Deputy Manager Location: Bangalore Reporting to: VP - Technology About the function The Personalization & Data Platforms team at MakeMyTrip is building the next generation of AI-first customer experience systems. We own various platforms, enabling real-time, personalized communication across the entire traveller journey, from inspiration, discovery, to post-trip engagement. With millions of daily active users across app and web, personalization is no longer a feature but a core growth lever. We are reimagining how travel experiences are orchestrated using data, automation, platforms, and GenAI agents at scale. About the role This Product Manager role builds and scales platforms for personalization and lifecycle marketing, translating business use cases into AI-powered, production-ready systems. Principally, we are looking for a Product Manager (Personalization) to build and scale systems that power personalized user journeys, cross-sell, and lifecycle engagement. This is not a typical feature of the PM role; you will operate at the intersection of: MarTech + Data Platforms + AI systems B2B2C platform thinking (internal users → end users) 0 to 1 and 1 to N scaling problems You will work closely with engineering, data science, marketing, design and product teams to build reusable, scalable platforms that drive measurable business impact. What you'll be doing Identify high-impact problems across user lifecycle journeys and translate them into scalable product opportunities Define clear hypotheses, success metrics, and solution approaches from business and user needs Drive rapid prototyping and validation (including AI-assisted experiences) before full-scale build Work closely with engineering and data science to design systems, data flows, and production-ready solutions, balancing speed vs scale Build and scale real-time personalization systems using data, rules, and AI/GenAI models Run experiments (A/B tests, iterations) and continuously improve outcomes Define frameworks to evaluate and improve AI/GenAI outputs Enable internal teams via scalable tools/workflows, not one-off builds Own end-to-end execution Analyze performance and drive improvements across conversion, engagement, and adoption Qualification & Experience Management graduates with engineering background from reputed / premiere institutes only with 2 to 4 years of experience in a product management role. Must Have and Nice to Have Must Have: Growth PM experience preferably from e-commerce organizations Data Analytics acumen indexing towards experimental data Experience building scalable systems/platforms (not just features) Strong data orientation (SQL basics + metrics-driven decision making) Experience working closely with engineering and data science teams Proven ability to take AI/ML/GenAI use cases from concept to production (incl. evaluation, edge cases, iteration) Strong execution: roadmaps, delivery, and iteration at scale Ability to translate business problems into structured product solutions Nice to Have: Experience in MarTech / CRM / AdTech platforms Exposure to GenAI workflows (prompting, evals, agents, automation) Experience with large-scale consumer platforms (1M+ users) Experience in travel or e-commerce ecosystems Key success factors for the role Experience in personalization, lifecycle marketing, or recommendation systems Strong stakeholder management across tech, business, and marketing Good UI/UX intuition for building internal products",15-04-2026,2-4 years,Bangalore,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69df9f1961654?from=all,Onsite
Area Sales Manager - Chennai,"Role: Area Sales Manager Level: Senior Executive/ Assistant Manager Reporting To: Zonal Manager - Franchise Location: Chennai About the Function: The Holidays business caters to diverse segments of travelers worldwide. It offers dynamic or customized travel and tour packages, allowing consumers to create and design their own holidays, alongside fixed departure holiday packages with pre-designed itineraries. An integral part of this business is the Franchise sales channel, which focuses on identifying key markets for Holiday customers. By onboarding Franchise Partners, it aims to increase the Holiday business share, ensuring a broader reach and enhanced customer satisfaction. About the Role: The resource will be responsible for increasing Holiday Package sales in a designated region by collaborating with Franchise Partners to expand market reach and drive revenue growth. Key duties include conducting market research, developing and implementing sales strategies, and setting and monitoring sales targets. What will you be doing: Market Research: Conduct market research to identify new opportunities for business expansion and improvement. Analyze market trends and competitors to devise strategies for increasing market share. Strategy Development: Develop and execute sales strategies to meet regional sales targets. Collaborate with marketing teams to design effective promotional campaigns. Sales Planning and Growth: Establish and oversee sales targets for franchise partners to ensure they are achieved. Track Year-on-Year (YoY) growth metrics to assess and improve franchisee performance. Analyze sales data and trends to pinpoint areas for improvement and growth. Performance Reporting: Prepare and present comprehensive performance reports to senior management. Utilize data analytics to monitor and assess the effectiveness of sales initiatives. Team Management & Guidance: Oversee, train, and guide the sales team within the assigned territory. Monitor their performance and motivate team members to achieve or surpass sales targets. Relationship Building: Cultivate and maintain long-term relationships with franchise owners, aligning them with common goals. Collaborate with franchisees to build and nurture travel communities around their stores, enhancing customer engagement and loyalty. Conflict Resolution: Handle and resolve conflicts or issues between franchise partners and the sales team. Maintain smooth and effective communication channels. Qualification and Experience: A bachelors or masters degree from a reputable institution with 2 to 6 years of experience in a B2B/ Franchise role or a related field is desirable. Key Success Factors for the Role: Leadership Qualities: Strong leadership skills with the ability to inspire and motivate the team. Ability to make informed decisions and take responsibility for outcomes. Adaptability & Resilience: Ability to adapt to changing market conditions and business needs. Resilience to handle challenges and setbacks effectively. Strategic Thinking: Strategic mindset with the ability to plan and execute long-term goals. Innovative approach to problem-solving and process improvement. Technical Proficiency: Proficient in all Microsoft Office applications. Analytical & Problem-Solving Skills. Strong analytical and problem-solving abilities. Communication & Customer Service Skills: Effective communication skills and exceptional customer service skills.",02-04-2026,2-8 years,Chennai,MakeMyTrip India Private Limited,https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a69ce447532687?from=all,Onsite
